time,gFx,gFy,gFz,gFTotal
5.897,-0.310,-0.447,-0.720,0.902
5.907,-0.341,-0.508,-0.746,0.965
5.917,-0.381,-0.558,-0.854,1.089
5.927,-0.417,-0.569,-0.968,1.198
5.937,-0.450,-0.583,-1.061,1.291
5.947,-0.459,-0.609,-1.128,1.361
5.957,-0.425,-0.618,-1.170,1.390
5.967,-0.347,-0.610,-1.204,1.393
5.977,-0.254,-0.594,-1.248,1.405
5.987,-0.199,-0.567,-1.291,1.424
5.997,-0.198,-0.493,-1.357,1.457
6.007,-0.201,-0.421,-1.343,1.422
6.017,-0.230,-0.399,-1.271,1.352
6.027,-0.218,-0.376,-1.214,1.289
6.037,-0.186,-0.346,-1.141,1.206
6.047,-0.167,-0.330,-1.133,1.192
6.057,-0.162,-0.312,-1.167,1.219
6.067,-0.154,-0.289,-1.215,1.258
6.077,-0.174,-0.308,-1.280,1.328
6.087,-0.203,-0.311,-1.318,1.370
6.097,-0.211,-0.280,-1.323,1.369
6.107,-0.196,-0.257,-1.285,1.325
6.117,-0.158,-0.241,-1.232,1.266
6.127,-0.128,-0.208,-1.220,1.244
6.137,-0.107,-0.163,-1.216,1.232
