gFx,gFy,gFz
0.204,-0.131,-0.642
0.189,-0.143,-0.64
0.167,-0.147,-0.622
0.131,-0.147,-0.598
0.108,-0.152,-0.578
0.116,-0.171,-0.589
0.138,-0.186,-0.633
0.186,-0.18,-0.714
0.236,-0.155,-0.841
0.285,-0.122,-1.003
0.338,-0.085,-1.151
0.39,-0.041,-1.26
0.432,0.005,-1.34
0.465,0.02,-1.39
0.482,-0.016,-1.406
0.462,-0.075,-1.405
0.42,-0.147,-1.44
0.361,-0.226,-1.546
0.309,-0.276,-1.697
0.281,-0.266,-1.823
0.289,-0.201,-1.883
0.336,-0.135,-1.866
0.403,-0.085,-1.786
0.463,-0.046,-1.655
0.493,-0.021,-1.488
0.487,-0.022,-1.307
0.46,-0.023,-1.125
0.409,-0.036,-0.955
0.354,-0.072,-0.814
0.32,-0.118,-0.699
0.313,-0.166,-0.616
0.311,-0.196,-0.568
0.304,-0.195,-0.549
0.306,-0.166,-0.558
0.303,-0.113,-0.587
0.285,-0.064,-0.621
0.272,-0.019,-0.649
0.251,0.005,-0.664
0.217,0.007,-0.682
0.186,-0.002,-0.715
0.165,-0.013,-0.765
0.154,-0.014,-0.82
0.156,-0.01,-0.857
0.171,0.006,-0.858
0.201,0.017,-0.832
0.225,0.026,-0.784
0.247,0.029,-0.737
0.251,0.018,-0.695
0.235,-0.002,-0.661
0.219,-0.03,-0.637
0.216,-0.065,-0.624
0.198,-0.09,-0.609
0.17,-0.103,-0.591
0.147,-0.118,-0.579
0.135,-0.136,-0.578
0.134,-0.15,-0.599
0.131,-0.152,-0.644
0.121,-0.155,-0.702
0.114,-0.156,-0.768
0.105,-0.154,-0.833
0.086,-0.136,-0.876
0.076,-0.101,-0.907
0.091,-0.067,-0.942
0.137,-0.047,-0.985
0.195,-0.031,-1.033
0.24,-0.006,-1.076
0.269,0.016,-1.096
0.292,0.012,-1.092
0.311,-0.005,-1.079
0.318,-0.034,-1.073
0.309,-0.065,-1.089
0.302,-0.088,-1.14
